Common name,Binomial name,Order,Date of extinction,Former range,Picture
Broad-faced potoroo,"Potorous platyops Gould, 1844",Diprotodontia,1875 1,Australia,
Eastern hare wallaby,"Lagorchestes leporides Gould, 1841",Diprotodontia,1889 1,Australia,
Lake Mackay hare-wallaby,"Lagorchestes asomatus Finlayson, 1943",Diprotodontia,1932 1,Australia,
Desert rat-kangaroo,"Caloprymnus campestris Gould, 1843",Diprotodontia,1935 1,Australia,
"Thylacine,or Tasmanian wolf/tiger","Thylacinus cynocephalus Harris, 1808",Dasyuromorphia,1936 1,"Australia, Tasmania",
Toolache wallaby,"Macropus greyi Waterhouse, 1846",Diprotodontia,1939 1,Australia,
Desert bandicoot,"Perameles eremiana Spencer, 1837",Peramelemorphia,1943 1,Australia,
New South Wales barred bandicoot[16],"Perameles fasciataGray, 1841",Peramelemorphia,mid-19th century,Australia,
Southwestern barred bandicoot[16],"Perameles myosurosWagner, 1841",Peramelemorphia,mid-19th century,Australia,
Southern barred bandicoot[16],"Perameles notinaThomas, 1922",Peramelemorphia,mid-19th century,Australia,
Ooldea barred bandicoot[16],"Perameles papillonTravouillon & Phillips, 2018",Peramelemorphia,early 20th century,Australia,
"Lesser bilby,or Yallara","Macrotis leucura Thomas, 1887",Peramelemorphia,1960s 1,Australia,
Southern pig-footed bandicoot,"Chaeropus ecaudatus Ogilby, 1838",Peramelemorphia,1950s 1,Australia,
Northern pig-footed bandicoot,"Chaeropus yirratjiTravouillon et al., 2019",Peramelemorphia,1950s,,
Crescent nail-tail wallaby,"Onychogalea lunata Gould, 1841",Diprotodontia,1956 1,Australia (western and central),
"Red-bellied gracile opossum,or red-bellied gracile mouse opossum","Cryptonanus ignitus Díaz, Flores and Barquez, 2002",Didelphimorphia,1962 1,Argentina,
Nullarbor dwarf bettong,"Bettongia pusilla McNamara, 1997",Diprotodontia,early 1500s 1,Australia (Nullarbor Plain),
Steller's sea cow,"Hydrodamalis gigas von Zimmermann, 1780",Sirenia,1768 1,"Commander Islands (Russia, United States)",
Bramble Cay melomys,"Melomys rubicola Thomas, 1924",Rodentia,2016 1,Australia (Bramble Cay),
Oriente cave rat,"Boromys offella Miller, 1916",Rodentia,early 1500s 1,Cuba,
Torre's cave rat,"Boromys torrei Allen, 1917",Rodentia,early 1500s 1,Cuba,
Imposter hutia,"Hexolobodon phenax Miller, 1929",Rodentia,early 1500s 1,Hispaniola (currently Haiti and the Dominican Republic),
Montane hutia,"Isolobodon montanus Miller, 1922",Rodentia,early 1500s 1,Hispaniola,
Dwarf viscacha,"Lagostomus crassus Thomas, 1910",Rodentia,early 1900s 1,Peru,
Galápagos giant rat,"Megaoryzomys curioi Niethammer, 1964",Rodentia,1500s 1,Santa Cruz Island (Galápagos),
Cuban coney,"Geocapromys columbianus Chapman, 1892",Rodentia,early 1500s 1,Cuba,
Hispaniolan edible rat,"Brotomys voratus Miller, 1916",Rodentia,1536–1546 1,Hispaniola,
